Description,Native,Bytes,R-encoding,score
AERIAL TRAMWAY,🚡,\xF0\x9F\x9A\xA1,<ed><a0><bd><ed><ba><a1>,0
AIRPLANE,✈,\xE2\x9C\x88,<e2><9c><88>,0
ALARM CLOCK,⏰,\xE2\x8F\xB0,<e2><8f><b0>,0
ALIEN MONSTER,👾,\xF0\x9F\x91\xBE,<ed><a0><bd><ed><b1><be>,0
AMBULANCE,🚑,\xF0\x9F\x9A\x91,<ed><a0><bd><ed><ba><91>,0
AMERICAN FOOTBALL,🏈,\xF0\x9F\x8F\x88,<ed><a0><bc><ed><bf><88>,0
ANCHOR,⚓,\xE2\x9A\x93,<e2><9a><93>,0
ANGER SYMBOL,💢,\xF0\x9F\x92\xA2,<ed><a0><bd><ed><b2><a2>,0
ANGRY FACE,😠,\xF0\x9F\x98\xA0,<ed><a0><bd><ed><b8><a0>,-9
ANGUISHED FACE,😧,\xF0\x9F\x98\xA7,<ed><a0><bd><ed><b8><a7>,-9
ANT,🐜,\xF0\x9F\x90\x9C,<ed><a0><bd><ed><b0><9c>,0
ANTENNA WITH BARS,📶,\xF0\x9F\x93\xB6,<ed><a0><bd><ed><b3><b6>,0
ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS,🔄,\xF0\x9F\x94\x84,<ed><a0><bd><ed><b4><84>,0
AQUARIUS,♒,\xE2\x99\x92,<e2><99><92>,0
ARIES,♈,\xE2\x99\x88,<e2><99><88>,0
ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS,⤵,\xE2\xA4\xB5,<e2><a4><b5>,0
ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS,⤴,\xE2\xA4\xB4,<e2><a4><b4>,0
ARTICULATED LORRY,🚛,\xF0\x9F\x9A\x9B,<ed><a0><bd><ed><ba><9b>,0
ARTIST PALETTE,🎨,\xF0\x9F\x8E\xA8,<ed><a0><bc><ed><be><a8>,0
ASTONISHED FACE,😲,\xF0\x9F\x98\xB2,<ed><a0><bd><ed><b8><b2>,-9
ATHLETIC SHOE,👟,\xF0\x9F\x91\x9F,<ed><a0><bd><ed><b1><9f>,0
AUBERGINE,🍆,\xF0\x9F\x8D\x86,<ed><a0><bc><ed><bd><86>,0
AUTOMATED TELLER MACHINE,🏧,\xF0\x9F\x8F\xA7,<ed><a0><bc><ed><bf><a7>,0
AUTOMOBILE,🚗,\xF0\x9F\x9A\x97,<ed><a0><bd><ed><ba><97>,0
BABY,👶,\xF0\x9F\x91\xB6,<ed><a0><bd><ed><b1><b6>,9
BABY ANGEL,👼,\xF0\x9F\x91\xBC,<ed><a0><bd><ed><b1><bc>,9
BABY BOTTLE,🍼,\xF0\x9F\x8D\xBC,<ed><a0><bc><ed><bd><bc>,0
BABY CHICK,🐤,\xF0\x9F\x90\xA4,<ed><a0><bd><ed><b0><a4>,0
BABY SYMBOL,🚼,\xF0\x9F\x9A\xBC,<ed><a0><bd><ed><ba><bc>,0
BACK WITH LEFTWARDS ARROW ABOVE,🔙,\xF0\x9F\x94\x99,<ed><a0><bd><ed><b4><99>,0
BACTRIAN CAMEL,🐫,\xF0\x9F\x90\xAB,<ed><a0><bd><ed><b0><ab>,0
BAGGAGE CLAIM,🛄,\xF0\x9F\x9B\x84,<ed><a0><bd><ed><bb><84>,0
BALLOON,🎈,\xF0\x9F\x8E\x88,<ed><a0><bc><ed><be><88>,0
BALLOT BOX WITH CHECK,☑,\xE2\x98\x91,<e2><98><91>,0
BANANA,🍌,\xF0\x9F\x8D\x8C,<ed><a0><bc><ed><bd><8c>,0
BANK,🏦,\xF0\x9F\x8F\xA6,<ed><a0><bc><ed><bf><a6>,0
BANKNOTE WITH DOLLAR SIGN,💵,\xF0\x9F\x92\xB5,<ed><a0><bd><ed><b2><b5>,0
BANKNOTE WITH EURO SIGN,💶,\xF0\x9F\x92\xB6,<ed><a0><bd><ed><b2><b6>,0
BANKNOTE WITH POUND SIGN,💷,\xF0\x9F\x92\xB7,<ed><a0><bd><ed><b2><b7>,0
BANKNOTE WITH YEN SIGN,💴,\xF0\x9F\x92\xB4,<ed><a0><bd><ed><b2><b4>,0
